IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_XML_ID;IE_NAME;IE_CODE;IP_PROP57;IP_PROP49;IP_PROP56;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;CAD/CAM;28348;266-FB5015 CONE PLUS;266-fb5015-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM абатмент FlexBase hex, 15°, ;;129.jpg;129.jpg
BoneTrust;абатменты;CAD/CAM;28347;266-FB5000 CONE PLUS;266-fb5000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM абатмент FlexBase hex, 0°, ;;128.jpg;128.jpg
BoneTrust;абатменты;CAD/CAM;28346;266-305000 CONE PLUS;266-305000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM титанвая основа CONE 0° для Cerec, ;;125_32_891.jpg;125_32_891.jpg
BoneTrust;абатменты;CAD/CAM;28345;266-303440 CONE PLUS;266-303440-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM титанвая основа CONE 0° для Cerec, ;;125.jpg;125.jpg
BoneTrust;абатменты;CAD/CAM;28344;266-153000 CONE PLUS;266-153000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 15°, 0,5 мм, ;;121.jpg;121.jpg
BoneTrust;абатменты;CAD/CAM;28343;266-005000 CONE PLUS;266-005000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, 0,5 мм, ;;119.jpg;119.jpg
BoneTrust;абатменты;CAD/CAM;28342;266-003430 CONE PLUS;266-003430-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, высота 3 мм, ;;117.png;117.png
BoneTrust;абатменты;CAD/CAM;28300;166-FB5015 HEX PLUS;166-fb5015-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM абатмент FlexBase hex, 15°;;54.jpg;54.jpg
BoneTrust;абатменты;CAD/CAM;28292;166-303440 HEX PLUS;166-303440-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM титановая основа HEX 0° для Cerec, ;;47.jpg;47.jpg
BoneTrust;абатменты;CAD/CAM;20786;166-003440 Hex Plus;166-003440-hex-plus;Имплантология;BONETRUST;Германия;Основа титановая для соединения импланта с абатментом. d=3,4/4,0 мм. h=0,5 мм;;rmt746364499686161097.jpg;rmt746364499686161097.jpg
BoneTrust;абатменты;CAD/CAM;20776;166-344052 Cone Plus;166-344052-cone-plus;Имплантология;BONETRUST;Германия;Колпачок для сканирования для CAD/CAM клеящей основы из титана, ;;50.jpg;50.jpg
BoneTrust;абатменты;CAD/CAM;20775;166-344053 Cone Plus;166-344053-cone-plus;Имплантология;BONETRUST;Германия;Колпачок для сканирования для CAD/CAM клеящей основы из титана, ;;50_18_127.jpg;50_18_127.jpg
BoneTrust;абатменты;CAD/CAM;20774;166-344051 Cone Plus;166-344051-cone-plus;Имплантология;BONETRUST;Германия;Колпачок для сканирования для CAD/CAM абатментa FlexBase, 0°/15°;;49.png;49.png
BoneTrust;абатменты;CAD/CAM;20770;166-203440 Hex plus;166-203440-hex-plus;Имплантология;BONETRUST;Германия;Защитный десневой колпачок для титановой основы Cerec, ;;46_42_956.jpg;46_42_956.jpg
BoneTrust;абатменты;CAD/CAM;20769;166-315000 Cone Plus;166-315000-cone-plus;Имплантология;BONETRUST;Германия;Защитный десневой колпачок для титановой основы Cerec, ;;48_94_526.png;48_94_526.png
BoneTrust;абатменты;CAD/CAM;20768;166-313440 Cone Plus;166-313440-cone-plus;Имплантология;BONETRUST;Германия;Защитный десневой колпачок для титановой основы Cerec, ;;48.png;48.png
BoneTrust;абатменты;CAD/CAM;20764;266-203440 Cone Plus;266-203440-cone-plus;Имплантология;BONETRUST;Германия;Клеящая основа из титана cone+, короткая , ;Абатмент конический магнитный.;124.png;124.png
BoneTrust;абатменты;CAD/CAM;20703;266-003440 Cone Plus;266-003440-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM титановая основа для Cerec, ;Абатмент конический магнитный.;118.jpg;118.jpg
BoneTrust;абатменты;CAD/CAM;20702;266-155000 Cone Plus;266-155000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана;Абатмент конический магнитный. 15°, ;123_82_882.jpg;123_82_882.jpg
BoneTrust;абатменты;CAD/CAM;20701;266-153400 Cone Plus;266-153400-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 15°, ;Абатмент конический магнитный. ;122.jpg;122.jpg
BoneTrust;абатменты;CAD/CAM;20700;266-003400 Cone Plus;266-003400-cone-plus;Имплантология;BONETRUST;Германия;Абатмент конический магнитный. 0°, ;;116.png;116.png
BoneTrust;абатменты;CAD/CAM;20699;266-003000 Cone Plus;266-003000-cone-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, ;Абатмент конический магнитный.;115.png;115.png
BoneTrust;абатменты;CAD/CAM;20698;166-155000 Hex Plus;166-155000-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 15°, ;Абатмент конический магнитный. ;46.jpg;46.jpg
BoneTrust;абатменты;CAD/CAM;20697;166-153400 Hex Plus;166-153400-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 15°, ;Абатмент конический магнитный. ;45_3_886.jpg;45_3_886.jpg
BoneTrust;абатменты;CAD/CAM;20696;166-153000 Hex Plus;166-153000-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 15°, ;Абатмент конический магнитный. ;45.jpg;45.jpg
BoneTrust;абатменты;CAD/CAM;20695;166-005000 Hex Plus;166-005000-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, ;Абатмент конический магнитный.  ;43.jpg;43.jpg
BoneTrust;абатменты;CAD/CAM;20694;166-003430 Hex Plus;166-003430-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, ;Абатмент конический магнитный. ;42.jpg;42.jpg
BoneTrust;абатменты;CAD/CAM;20693;166-003400 Hex Plus;166-003400-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, ;Абатмент конический магнитный. ;41_76_811.jpg;41_76_811.jpg
BoneTrust;абатменты;CAD/CAM;20692;166-003000 Hex Plus;166-003000-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM клеящая основа из титана, 0°, ;Абатмент конический магнитный. ;40_8_70.jpg;40_8_70.jpg
BoneTrust;абатменты;CAD/CAM;20691;166-FB5000 Hex plus;166-fb5000-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM Абатмент FlexBase hex, 0°, ;Абатмент конический магнитный. ;53.jpg;53.jpg
BoneTrust;абатменты;CAD/CAM;20690;166-FB3415 Hex plus;166-fb3415-hex-plus;Имплантология;BONETRUST;Германия;CAD/CAM Абатмент FlexBase hex, 0°, ;Абатмент конический магнитный. ;52.jpg;52.jpg
